business_id,category,ethnicity,year,observed_name
18,Travel,Hispanic,2001,Andina Travel
18,Travel,Hispanic,2002,Andina Travel
20,Home furnishing,Not Specified,1998,Angel Interiors
20,Home furnishing,Not Specified,1999,Angel Interiors
20,Home furnishing,Not Specified,2000,Angel Interiors
20,Home furnishing,Not Specified,2001,Angel Interiors
20,Home furnishing,Not Specified,2002,Angel Interiors
20,Home furnishing,Not Specified,1995,Angel Interiors
20,Home furnishing,Not Specified,1996,Angel Interiors
20,Home furnishing,Not Specified,1997,Angel Interiors
21,Prepared food,Korean,1995,Angels Fast Food
21,Prepared food,Korean,1996,Angels Fast Food
21,Prepared food,Korean,1997,Angels Fast Food
21,Prepared food,Korean,1998,Angels Fast Food
21,Prepared food,Korean,1999,Angels Fast Food
21,Prepared food,Korean,2000,Angels Fast Food
21,Prepared food,Korean,2001,Angels Fast Food
21,Prepared food,Korean,2002,Angels Fast Food
22,Recreation,Not Specified,1995,Annas Dance Centre
22,Recreation,Not Specified,1996,Annas Dance Centre
22,Recreation,Not Specified,1997,Annas Dance Centre
22,Recreation,Not Specified,1998,Annas Dance Centre
22,Recreation,Not Specified,2001,Annas Dance Centre
22,Recreation,Not Specified,2002,Annas Dance Centre
23,Prepared food,Not Specified,1998,Annex Donuts & Sweets
23,Prepared food,Not Specified,1999,Annex Donuts & Sweets
23,Prepared food,Not Specified,2000,Annex Donuts & Sweets
24,Convenience,Not Specified,1995,Annex Mart
24,Convenience,Not Specified,1996,Annex Mart
24,Convenience,Not Specified,1997,Annex Mart
24,Convenience,Not Specified,1998,Annex Mart
24,Convenience,Not Specified,1999,Annex Mart
24,Convenience,Not Specified,2000,Annex Mart
24,Convenience,Not Specified,2001,Annex Mart
24,Convenience,Not Specified,2002,Annex Mart
27,Prepared food,Not Specified,1995,Annex Submarine
27,Prepared food,Not Specified,1996,Annex Submarine
27,Prepared food,Not Specified,1997,Annex Submarine
27,Prepared food,Not Specified,1998,Annex Submarine
27,Prepared food,Not Specified,1999,Annex Submarine
27,Prepared food,Not Specified,2000,Annex Submarine
27,Prepared food,Not Specified,2001,Annex Submarine
27,Prepared food,Not Specified,2002,Annex Submarine
29,Travel,Not Specified,1995,Apollo Tours
29,Travel,Not Specified,1996,Apollo Tours
29,Travel,Not Specified,1997,Apollo Tours
29,Travel,Not Specified,1998,Apollo Tours
29,Travel,Not Specified,1999,Apollo Tours
29,Travel,Not Specified,2000,Apollo Tours
29,Travel,Not Specified,2001,Apollo Tours
29,Travel,Not Specified,2002,Apollo Tours
30,Miscellaneous,Not Specified,1995,Arora
30,Miscellaneous,Not Specified,1996,Arora
30,Miscellaneous,Not Specified,1997,Arora
30,Miscellaneous,Not Specified,1998,Arora
30,Miscellaneous,Not Specified,1999,Arora
30,Miscellaneous,Not Specified,2000,Arora
30,Miscellaneous,Not Specified,2001,Arora
30,Miscellaneous,Not Specified,2002,Arora
31,Clothing,Korean,1999,Art Deco
31,Clothing,Korean,2000,Art Deco
31,Clothing,Korean,2001,Art Deco
31,Clothing,Korean,2002,Art Deco
32,Travel,Korean,1995,Asia Travel
32,Travel,Korean,1996,Asia Travel
32,Travel,Korean,1997,Asia Travel
32,Travel,Korean,1998,Asia Travel
32,Travel,Korean,1999,Asia Travel
32,Travel,Korean,2000,Asia Travel
32,Travel,Korean,2001,Asia Travel
32,Travel,Korean,2002,Asia Travel
33,Food,Korean,1995,Asian Health Food
33,Food,Korean,1996,Asian Health Food
33,Food,Korean,1997,Asian Health Food
33,Food,Korean,1998,Asian Health Food
33,Food,Korean,1999,Asian Health Food
33,Food,Korean,2000,Asian Health Food
33,Food,Korean,2001,Asian Health Food
33,Food,Korean,2002,Asian Health Food and Acupuncture Clinic
35,Travel,Not Specified,1995,Atlas Tours
35,Travel,Not Specified,1996,Atlas Tours
35,Travel,Not Specified,1997,Atlas Tours
35,Travel,Not Specified,1998,Atlas Tours
35,Travel,Not Specified,1999,Atlas Tours
35,Travel,Not Specified,2000,Atlas Tours
35,Travel,Not Specified,2001,Atlas Tours
37,Clothing,Not Specified,1995,Aycan Tailors
37,Clothing,Not Specified,1996,Aycan Tailors
37,Clothing,Not Specified,1997,Aycan Tailors
37,Clothing,Not Specified,1998,Aycan Tailors
38,Clothing,Not Specified,1995,Bags N Such
39,Prepared food,Not Specified,1997,Bakers Dozen Donuts
40,Prepared food,Not Specified,1997,Bangkok Express
40,Prepared food,Not Specified,1998,Bangkok Express
40,Prepared food,Not Specified,1999,Bangkok Express
40,Prepared food,Not Specified,2000,Bangkok Express
41,Financial,Not Specified,1995,Bank of Montreal
41,Financial,Not Specified,1996,Bank of Montreal
41,Financial,Not Specified,1997,Bank of Montreal
41,Financial,Not Specified,1998,Bank of Montreal
41,Financial,Not Specified,1999,Bank of Montreal
41,Financial,Not Specified,2000,Bank of Montreal
41,Financial,Not Specified,2001,Bank of Montreal
41,Financial,Not Specified,2002,Bank of Montreal
43,Variety,Not Specified,2000,Bentley Liquidation
44,Food,Not Specified,1995,Big Brothers Fruit Market
44,Food,Not Specified,1996,Big Brothers Fruit Market
44,Food,Not Specified,1997,Big Brothers Fruit Market
44,Food,Not Specified,1998,Big Brothers Fruit Market
44,Food,Not Specified,1999,Big Brothers Fruit Market
44,Food,Not Specified,2000,Big Brothers Fruit Market
45,Variety,Not Specified,1995,Big Deals
46,Clothing,Korean,2002,Bishop
47,Clothing,Not Specified,1996,Biway
47,Clothing,Not Specified,1997,Biway
47,Clothing,Not Specified,1998,Biway
47,Clothing,Not Specified,1999,Biway
48,"Art, books, music, video",Not Specified,1996,Blast Records
48,"Art, books, music, video",Not Specified,1997,Blast Records
48,"Art, books, music, video",Not Specified,1998,Blast Records
48,"Art, books, music, video",Not Specified,1999,Blast Records
48,"Art, books, music, video",Not Specified,2000,Blast Records
49,"Art, books, music, video",Not Specified,1995,Blockbuster Video
49,"Art, books, music, video",Not Specified,1996,Blockbuster Video
49,"Art, books, music, video",Not Specified,1997,Blockbuster Video
49,"Art, books, music, video",Not Specified,1998,Blockbuster Video
49,"Art, books, music, video",Not Specified,1999,Blockbuster Video
49,"Art, books, music, video",Not Specified,2000,Blockbuster Video
49,"Art, books, music, video",Not Specified,2001,Blockbuster Video
49,"Art, books, music, video",Not Specified,2002,Blockbuster Video
50,Entertainment,Not Specified,1995,Bloor Cinema
50,Entertainment,Not Specified,1996,Bloor Cinema
50,Entertainment,Not Specified,1997,Bloor Cinema
50,Entertainment,Not Specified,1998,Bloor Cinema
50,Entertainment,Not Specified,1999,Bloor Cinema
50,Entertainment,Not Specified,2000,Bloor Cinema
50,Entertainment,Not Specified,2001,Bloor Cinema
50,Entertainment,Not Specified,2002,Bloor Cinema
52,Convenience,Not Specified,1995,Bloor Discount Food and Variety
52,Convenience,Not Specified,1996,Bloor Discount Food and Variety
52,Convenience,Not Specified,1997,Bloor Discount Food and Variety
52,Convenience,Not Specified,1998,Bloor Discount Food and Variety
52,Convenience,Not Specified,1999,Bloor Discount Food and Variety
52,Convenience,Not Specified,2000,Bloor Discount Food and Variety
52,Convenience,Not Specified,2001,Bloor Discount Food and Variety
52,Convenience,Not Specified,2002,Bloor Discount Food and Variety
53,Electronics,Korean,1996,Bloor Electronics
54,Food,Not Specified,1995,Bloor Fruit Market
54,Food,Not Specified,1996,Bloor Fruit Market
54,Food,Not Specified,1997,Bloor Fruit Market
54,Food,Not Specified,1998,Bloor Fruit Market
54,Food,Not Specified,1999,Bloor Fruit Market
54,Food,Not Specified,2000,Bloor Fruit Market
54,Food,Not Specified,2001,Bloor Fruit Market
54,Food,Not Specified,2002,Bloor Fruit Market
55,Home maintenance,Not Specified,1995,Bloor Hardware
55,Home maintenance,Not Specified,1996,Bloor Hardware
55,Home maintenance,Not Specified,1997,Bloor Hardware
55,Home maintenance,Not Specified,1998,Bloor Hardware
55,Home maintenance,Not Specified,1999,Bloor Hardware
56,Cleaning services,Not Specified,1995,Bloor Laundromat
56,Cleaning services,Not Specified,1996,Bloor Laundromat
56,Cleaning services,Not Specified,1997,Bloor Laundromat
56,Cleaning services,Not Specified,1998,Bloor Laundromat
56,Cleaning services,Not Specified,1999,Bloor Laundromat
56,Cleaning services,Not Specified,2000,Bloor Laundromat
56,Cleaning services,Not Specified,2001,Bloor Laundromat
56,Cleaning services,Not Specified,2002,Bloor Laundromat
57,Medical,Not Specified,1995,Bloor Optical
57,Medical,Not Specified,1996,Bloor Optical
60,Prepared food,Not Specified,2001,Bloor Street Eatery and Bar
61,Food,Not Specified,1995,Bloor Supersave
61,Food,Not Specified,1996,Bloor Supersave
61,Food,Not Specified,1997,Bloor Supersave
61,Food,Not Specified,1998,Bloor Supersave
61,Food,Not Specified,1999,Bloor Supersave
61,Food,Not Specified,2000,Bloor Supersave
61,Food,Not Specified,2001,Bloor Supersave
61,Food,Not Specified,2002,Bloor Supersave
62,Prepared food,Not Specified,1995,Bloor Sushi and Sashimi
63,Prepared food,Not Specified,1995,Bloor Sweet Café
63,Prepared food,Not Specified,1996,Bloor Sweet Café
63,Prepared food,Not Specified,1997,Bloor Sweet Café
63,Prepared food,Not Specified,1998,Bloor Sweet Café
63,Prepared food,Not Specified,1999,Bloor Sweet Café
63,Prepared food,Not Specified,2000,Bloor Sweet Café
63,Prepared food,Not Specified,2001,Bloor Sweet Café
63,Prepared food,Not Specified,2002,Bloor Sweet Café
64,Prepared food,Not Specified,1995,Blueberry Hill
65,Entertainment,Korean,1996,BMB Music Studio
65,Entertainment,Korean,1997,BMB Music Studio
65,Entertainment,Korean,1998,BMB Music Studio
65,Entertainment,Korean,1999,BMB Music Studio
65,Entertainment,Korean,2000,BMB Music Studio
65,Entertainment,Korean,2001,BMB Music Studio
65,Entertainment,Korean,2002,BMB Music Studio
66,Personal adornment,Korean,1995,Bo Kwang Dang Jewellery
66,Personal adornment,Korean,1996,Bo Kwang Dang Jewellery
66,Personal adornment,Korean,1997,Bo Kwang Dang Jewellery
66,Personal adornment,Korean,1998,Bo Kwang Dang Jewellery
66,Personal adornment,Korean,1999,Bo Kwang Dang Jewellery
66,Personal adornment,Korean,2000,Bo Kwang Dang Jewellery
66,Personal adornment,Korean,2001,Bo Kwang Dang Jewellery
66,Personal adornment,Korean,2002,Bo Kwang Dang Jewellery
67,Medical,Korean,1995,Bo Kwang Herbs
68,Medical,Korean,1995,Bokeum Oriental Herb
68,Medical,Korean,1996,Bokeum Oriental Herb
68,Medical,Korean,1997,Bokeum Oriental Herb
68,Medical,Korean,1998,Bokeum Oriental Herb
68,Medical,Korean,1999,Bokeum Oriental Herb
68,Medical,Korean,2000,Bokeum Oriental Herb
68,Medical,Korean,2001,Bokeum Oriental Herb
68,Medical,Korean,2002,Bokeum Oriental Herb
70,"Art, books, music, video",Not Specified,1995,Book City
70,"Art, books, music, video",Not Specified,1996,Book City
70,"Art, books, music, video",Not Specified,1997,Book City
70,"Art, books, music, video",Not Specified,1998,Book City
70,"Art, books, music, video",Not Specified,1999,Book City
70,"Art, books, music, video",Not Specified,2000,Book City
70,"Art, books, music, video",Not Specified,2001,Book City
70,"Art, books, music, video",Not Specified,2002,Book City
72,Personal care,Not Specified,1995,Brunos Schools of Hair Design
73,Prepared food,Korean,2002,Buk Chang Dong Soon To Fu Korean Restaurant
74,Prepared food,Not Specified,2000,Burger King
74,Prepared food,Not Specified,2001,Burger King
74,Prepared food,Not Specified,2002,Burger King
76,Personal adornment,Korean,1998,Buy and Sell Depot
77,Prepared food,Not Specified,1995,By the Way Café
77,Prepared food,Not Specified,1996,By the Way Café
77,Prepared food,Not Specified,1997,By the Way Café
77,Prepared food,Not Specified,1998,By the Way Café
77,Prepared food,Not Specified,1999,By the Way Café
77,Prepared food,Not Specified,2000,By the Way Café
77,Prepared food,Not Specified,2001,By the Way Café
77,Prepared food,Not Specified,2002,By the Way Café
78,Prepared food,Not Specified,1997,Café Orgasmo
79,Prepared food,Korean,1995,Café 55
79,Prepared food,Korean,1996,Café 55
80,Cleaning services,Not Specified,2002,California Dry Cleaners Coin Laundry
81,Financial,Not Specified,1995,Canada Trust
81,Financial,Not Specified,1996,Canada Trust
81,Financial,Not Specified,1997,Canada Trust
81,Financial,Not Specified,1998,Canada Trust
81,Financial,Not Specified,1999,Canada Trust
81,Financial,Not Specified,2000,Canada Trust
81,Financial,Not Specified,2001,Canada Trust
82,Home furnishing,Not Specified,1998,Candle Liquidation
83,Food,Hispanic,1995,Casa Musical
84,Phones,Hispanic,2002,Casa Tropical
85,Clothing,Not Specified,1997,C.C.I.
85,Clothing,Not Specified,1998,C.C.I.
85,Clothing,Not Specified,1999,C.C.I.
85,Clothing,Not Specified,2000,C.C.I.
85,Clothing,Not Specified,2001,C.C.I.
85,Clothing,Not Specified,2002,C.C.I.
86,"Art, books, music, video",Not Specified,1998,CD Replay
86,"Art, books, music, video",Not Specified,1999,CD Replay
86,"Art, books, music, video",Not Specified,2000,CD Replay
86,"Art, books, music, video",Not Specified,2001,CD Replay
86,"Art, books, music, video",Not Specified,2002,CD Replay
88,Prepared food,Not Specified,1995,Cellos Restaurant
88,Prepared food,Not Specified,1996,Cellos Restaurant
88,Prepared food,Not Specified,1997,Cellos Restaurant
88,Prepared food,Not Specified,1998,Cellos Restaurant
89,Phones,Korean,2002,Cellular Fax
90,Phones,Not Specified,1998,Cellular 3000/Cantel
90,Phones,Not Specified,1999,Cellular 3000/Cantel
90,Phones,Not Specified,2000,Cellular 3000/Cantel
91,Travel,Korean,1995,Central Travel
91,Travel,Korean,1996,Central Travel
91,Travel,Korean,1997,Central Travel
91,Travel,Korean,1998,Central Travel
91,Travel,Korean,1999,Central Travel
91,Travel,Korean,2000,Central Travel
91,Travel,Korean,2001,Central Travel
91,Travel,Korean,2002,Central Travel
93,Home furnishing,Not Specified,1997,Charlies Dream Factory
93,Home furnishing,Not Specified,1998,Charlies Dream Factory
94,"Art, books, music, video",Not Specified,2001,Cheapo
95,Food,Not Specified,1995,Cheese Dairy
95,Food,Not Specified,1996,Cheese Dairy
95,Food,Not Specified,1997,Cheese Dairy
95,Food,Not Specified,1998,Cheese Dairy
95,Food,Not Specified,1999,Cheese Dairy
95,Food,Not Specified,2000,Cheese Dairy
95,Food,Not Specified,2001,Cheese Dairy
95,Food,Not Specified,2002,Cheese Dairy
96,Prepared food,Korean,1996,Chinese Restaurant
96,Prepared food,Korean,1997,Chinese Restaurant
96,Prepared food,Korean,1998,Chinese Restaurant
96,Prepared food,Korean,1999,Chinese Restaurant
96,Prepared food,Korean,2000,Chinese Restaurant
96,Prepared food,Korean,2001,Chinese Restaurant
96,Prepared food,Korean,2002,Chinese Restaurant
98,Religion,Not Specified,1999,Christian Articles and Gifts
98,Religion,Not Specified,2000,Christian Articles and Gifts
98,Religion,Not Specified,2001,Christian Articles and Gifts
98,Religion,Not Specified,2002,Christian Articles and Gifts
99,Prepared food,Not Specified,1995,Ciao
100,Financial,Not Specified,1995,CIBC
100,Financial,Not Specified,1996,CIBC
100,Financial,Not Specified,1997,CIBC
100,Financial,Not Specified,1998,CIBC
100,Financial,Not Specified,1999,CIBC
100,Financial,Not Specified,2000,CIBC
100,Financial,Not Specified,2001,CIBC
516,Financial,Not Specified,1995,CIBC
516,Financial,Not Specified,1996,CIBC
516,Financial,Not Specified,1997,CIBC
516,Financial,Not Specified,1998,CIBC
516,Financial,Not Specified,1999,CIBC
516,Financial,Not Specified,2000,CIBC
516,Financial,Not Specified,2001,CIBC
516,Financial,Not Specified,2002,CIBC
101,Prepared food,Not Specified,1995,Clinton Tavern
101,Prepared food,Not Specified,1996,Clinton Tavern
101,Prepared food,Korean,1997,Clintons/XO Karoake Box
101,Prepared food,Korean,1998,Clintons/XO Karoake Box
101,Prepared food,Korean,1999,Clintons/XO Karoake Box
101,Prepared food,Korean,2000,Clintons/XO Karoake Box
101,Prepared food,Korean,2001,Clintons/XO Karoake Box
101,Prepared food,Korean,2002,Clintons/XO Karoake Box
103,Prepared food,Korean,2001,Cocos Restaurant
103,Prepared food,Korean,2002,Cocos Restaurant
104,Prepared food,Korean,1995,Coffee Plus
104,Prepared food,Korean,1996,Coffee Plus
104,Prepared food,Korean,1997,Coffee Plus
104,Prepared food,Korean,1998,Coffee Plus
104,Prepared food,Korean,1999,Coffee Plus
105,Prepared food,Not Specified,1995,Coffee Time
105,Prepared food,Not Specified,1996,Coffee Time
105,Prepared food,Not Specified,1997,Coffee Time
105,Prepared food,Not Specified,1998,Coffee Time
105,Prepared food,Not Specified,1999,Coffee Time
105,Prepared food,Not Specified,2000,Coffee Time
105,Prepared food,Not Specified,2001,Coffee Time
105,Prepared food,Not Specified,2002,Coffee Time
106,Cleaning services,Not Specified,2001,Coin Laundry
108,Phones,Korean,2001,Computopia
108,Phones,Korean,2002,Computopia
109,Department store,Not Specified,1995,Consumers Distributing
109,Department store,Not Specified,1996,Consumers Distributing
110,Prepared food,Not Specified,1995,Continental Restaurant
111,Food,Not Specified,1995,Country Green Fruit
112,Prepared food,Not Specified,1995,Country Style
112,Prepared food,Not Specified,1996,Country Style
112,Prepared food,Not Specified,1997,Country Style
112,Prepared food,Not Specified,1998,Country Style
112,Prepared food,Not Specified,1999,Country Style
112,Prepared food,Not Specified,2000,Country Style
112,Prepared food,Not Specified,2001,Country Style
112,Prepared food,Not Specified,2002,Country Style
113,Prepared food,Not Specified,1998,Croft St. Bar
114,Bikes and e-bikes,Not Specified,1995,Curbside Cycle
114,Bikes and e-bikes,Not Specified,1996,Curbside Cycle
114,Bikes and e-bikes,Not Specified,1997,Curbside Cycle
114,Bikes and e-bikes,Not Specified,1998,Curbside Cycle
114,Bikes and e-bikes,Not Specified,1999,Curbside Cycle
114,Bikes and e-bikes,Not Specified,2000,Curbside Cycle
114,Bikes and e-bikes,Not Specified,2001,Curbside Cycle
114,Bikes and e-bikes,Not Specified,2002,Curbside Cycle
115,Prepared food,Not Specified,2001,Curiosity
115,Prepared food,Not Specified,2002,Curiosity
116,"Art, books, music, video",Korean,2002,Dae Han Electronics
116,"Art, books, music, video",Korean,1996,Dae Han Electronics
116,"Art, books, music, video",Korean,1997,Dae Han Electronics
116,"Art, books, music, video",Korean,1998,Dae Han Electronics
116,"Art, books, music, video",Korean,1999,Dae Han Electronics
116,Miscellaneous,Korean,2000,Dae Han Home Electronics
116,Miscellaneous,Korean,2001,Dae Han Home Electronics
118,"Art, books, music, video",Korean,2002,Dae Han Korean Video
119,Variety,Korean,1996,Dae Sung Tourist Gift Centre
119,Variety,Korean,1997,Dae Sung Tourist Gift Centre
120,Prepared food,Not Specified,1997,Dang de Lion
120,Prepared food,Not Specified,1998,Dang de Lion
120,Prepared food,Not Specified,1999,Dang de Lion
121,Personal care,Korean,2002,DeBon
122,Food,Not Specified,1995,Di Maria Family Food Fair
123,Internet parlor,Not Specified,2001,Digital Fusion
123,Internet parlor,Not Specified,2002,Digital Fusion
124,Food,Not Specified,1995,Dominion
124,Food,Not Specified,1996,Dominion
124,Food,Not Specified,1997,Dominion
124,Food,Not Specified,1998,Dominion
124,Food,Not Specified,1999,Dominion
124,Food,Not Specified,2000,Dominion
124,Food,Not Specified,2001,Dominion
124,Food,Not Specified,2002,Dominion
125,Convenience,Not Specified,1995,Dona Variety
126,Prepared food,Not Specified,1995,Dooneys
126,Prepared food,Not Specified,1996,Dooneys
126,Prepared food,Not Specified,1997,Dooneys
126,Prepared food,Not Specified,1998,Dooneys
126,Prepared food,Not Specified,1999,Dooneys
126,Prepared food,Not Specified,2000,Dooneys
126,Prepared food,Not Specified,2001,Dooneys
126,Prepared food,Not Specified,2002,Dooneys
127,Prepared food,Korean,1996,Doori Doori Corner
128,Prepared food,Not Specified,1995,Double Happiness Restaurant
128,Prepared food,Not Specified,1996,Double Happiness Restaurant
128,Prepared food,Not Specified,1997,Double Happiness Restaurant
128,Prepared food,Not Specified,1998,Double Happiness Restaurant
128,Prepared food,Not Specified,1999,Double Happiness Restaurant
128,Prepared food,Not Specified,2000,Double Happiness Restaurant
128,Prepared food,Not Specified,2001,Double Happiness Restaurant
128,Prepared food,Not Specified,2002,Double Happiness Restaurant
129,Food,Korean,1999,Dream Traders
129,Food,Korean,2000,Dream Traders
129,Food,Korean,2001,Dream Traders
129,Food,Korean,2002,Dream Traders
130,Prepared food,Not Specified,2000,Durango Cocktail Bar
130,Prepared food,Not Specified,2001,Durango Cocktail Bar
130,Prepared food,Not Specified,2002,Durango Cocktail Bar
131,Home furnishing,Not Specified,1995,East West Futons
131,Home furnishing,Not Specified,1996,East West Futons
131,Home furnishing,Not Specified,1997,East West Futons
131,Home furnishing,Not Specified,1998,East West Futons
131,Home furnishing,Not Specified,1999,East West Futons
131,Home furnishing,Not Specified,2000,East West Futons
131,Home furnishing,Not Specified,2001,East West Futons
131,Home furnishing,Not Specified,2002,East West Futons
135,Prepared food,Not Specified,1995,El Avocado Express
136,Prepared food,Not Specified,1995,El Camino
137,Variety,Hispanic,1995,El Paso Variety Store
137,Variety,Hispanic,1996,El Paso Variety Store
137,Variety,Hispanic,1997,El Paso Variety Store
139,Prepared food,Korean,1999,El‚phant Korean Restaurant
140,Prepared food,Not Specified,2001,Elixir
140,Prepared food,Not Specified,2002,Elixir
141,Food,Not Specified,1995,Elizabeth Delicatessen and Meat Market
141,Food,Not Specified,1996,Elizabeth Delicatessen and Meat Market
141,Food,Not Specified,1997,Elizabeth Delicatessen and Meat Market
141,Food,Not Specified,1998,Elizabeth Delicatessen and Meat Market
141,Food,Not Specified,1999,Elizabeth Delicatessen and Meat Market
141,Food,Not Specified,2000,Elizabeth Delicatessen and Meat Market
141,Food,Not Specified,2001,Elizabeth Delicatessen and Meat Market
141,Food,Not Specified,2002,Elizabeth Delicatessen and Meat Market
142,Prepared food,Not Specified,1999,Emke Restaurant
143,Clothing,Not Specified,1996,Ends
143,Clothing,Not Specified,1997,Ends
143,Clothing,Not Specified,1998,Ends
143,Clothing,Not Specified,1999,Ends
143,Clothing,Not Specified,2000,Ends
143,Clothing,Not Specified,2001,Ends
144,Clothing,Not Specified,1995,Ends Shmatas
145,Phones,Hispanic,1998,Envios Canada
145,Phones,Hispanic,1999,Envios Canada
145,Phones,Hispanic,2000,Envios Canada
146,Food,Not Specified,2000,Eternal Abundance
146,Food,Not Specified,2001,Eternal Abundance
146,Food,Not Specified,2002,Eternal Abundance
147,Prepared food,Not Specified,1995,Ethiopian Palace
148,Medical,Not Specified,1995,Factors Pharmacy
148,Medical,Not Specified,1996,Factors Pharmacy
148,Medical,Not Specified,1997,Factors Pharmacy
148,Medical,Not Specified,1998,Factors Pharmacy
148,Medical,Not Specified,1999,Factors Pharmacy
148,Medical,Not Specified,2000,Factors Pharmacy
148,Medical,Not Specified,2001,Factors Pharmacy
148,Medical,Not Specified,2002,Factors Pharmacy
149,Clothing,Korean,2000,Fashion Accessory
